Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S07,native,1639.8,Tone 3,normal006_五-u-Tone_3.mp3,speaker006,五,u,Tone 3,normal,1,10,0.026350792,-0.478999168,1.195491696,1.715597695,0.950370174,0.533,185.5920921,0,1,1
S07,native,1355.5,Tone 2,normal006_鱼-y-Tone_2.mp3,speaker006,鱼,y,Tone 2,normal,1,1,0.026350792,-0.478999168,0.803276337,2.369451572,1.340070291,0.338,206.3724007,0,1,0
S07,native,1417.9,Tone 3,normal003_底-i-Tone_3.mp3,speaker003,底,i,Tone 3,normal,1,12,0.018803786,-0.378383701,1.783772173,1.365480234,0.557487196,0.468,172.5869522,0,1,1
S07,native,1481.1,Tone 3,normal006_把-a-Tone_3.mp3,speaker006,把,a,Tone 3,normal,1,13,0.026350792,-0.478999168,2.151995845,1.390379936,0,0.428,154.2581068,0,1,1
S07,native,1042.1,Tone 2,normal006_拔-a-Tone_2.mp3,speaker006,拔,a,Tone 2,normal,1,6,0.007692007,-0.076756371,0.52467002,2.185462579,1.103531097,0.374,196.4669631,0,1,0
S07,native,2092.1,Tone 3,normal007_把-a-Tone_3.mp3,speaker007,把,a,Tone 3,normal,1,11,0.01361973,-0.279186217,1.21486274,1.3117669,0.848099966,0.39,161.2675265,0,1,1
S07,native,1116.2,Tone 2,normal003_鱼-y-Tone_2.mp3,speaker003,鱼,y,Tone 2,normal,1,8,0.010090814,-0.213356667,0.343700965,2.045417934,1.446041176,0.359,219.7646075,0,1,0
S07,native,1092.6,Tone 2,normal003_敌-i-Tone_2.mp3,speaker003,敌,i,Tone 2,normal,1,1,0.018803786,-0.378383701,1.174380846,2.140878844,1.04239817,0.34,204.9370773,0,1,0
S07,native,2116.2,Tone 3,normal007_渴-e-Tone_3.mp3,speaker007,渴,e,Tone 3,normal,1,11,0.01361973,-0.279186217,1.381695435,1.156483779,0.635300641,0.366,153.456949,0,1,1
S07,native,1380.5,Tone 2,normal003_拔-a-Tone_2.mp3,speaker003,拔,a,Tone 2,normal,1,1,0.018803786,-0.378383701,1.106356712,2.253293223,1.096527015,0.405,196.0241781,0,1,0
