Subject,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Group,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,Length,HSKlevel,Gender,Assign
S06,1983,Tone 3,loud009_底-i-Tone_3.mp3,speaker009,底,i,Tone 3,loud,learner,13,0.00401111,0.00324491,0.446841562,2.714000146,1.088092669,0.509,244.5768289,6,5,0,1
S06,1970,Tone 2,loud011_无-u-Tone_2.mp3,speaker011,无,u,Tone 2,loud,learner,8,0.007531449,-0.082714379,0.209977892,4.966758107,2.800118056,0.402,296.343287,6,5,0,0
S06,1804,Tone 3,loud011_雨-y-Tone_3.mp3,speaker011,雨,y,Tone 3,loud,learner,12,0.007531449,-0.082714379,0.938003117,3.745257835,1.904845356,0.556,241.9895212,6,5,0,1
S06,1532,Tone 2,loud011_拔-a-Tone_2.mp3,speaker011,拔,a,Tone 2,loud,learner,10,0.007531449,-0.082714379,0.874441281,3.773827532,1.983009099,0.33,230.8166944,6,5,0,0
S06,4137,Tone 2,loud011_鱼-y-Tone_2.mp3,speaker011,鱼,y,Tone 2,loud,learner,1,0.007531449,-0.082714379,0.87243447,4.6777412,1.98547693,0.395,272.8051494,6,5,0,0
S06,1403,Tone 3,loud009_雨-y-Tone_3.mp3,speaker009,雨,y,Tone 3,loud,learner,13,0.00401111,0.00324491,0.35009592,3.158708511,1.205739982,0.516,256.0259979,6,5,0,1
S06,1317,Tone 2,loud013_咳-e-Tone_2.mp3,speaker013,咳,e,Tone 2,loud,learner,1,0.011498732,-0.204874096,1.261940726,4.020408185,1.936099332,0.305,178.8358395,6,5,0,0
S06,1275,Tone 2,loud013_拔-a-Tone_2.mp3,speaker013,拔,a,Tone 2,loud,learner,1,0.011498732,-0.204874096,1.298501576,4.135367221,1.867067412,0.369,171.3101511,6,5,0,0
S06,2441,Tone 3,loud011_五-u-Tone_3.mp3,speaker011,五,u,Tone 3,loud,learner,13,0.007531449,-0.082714379,0.975942424,3.537472735,1.858190344,0.535,234.5625431,6,5,0,1
S06,2471,Tone 3,loud013_五-u-Tone_3.mp3,speaker013,五,u,Tone 3,loud,learner,12,0.005542185,-0.093890355,0.909671829,2.740391215,1.938324821,0.699,172.2687454,6,5,0,1
